KEY,en,notes,sp,fr,de,it,pt-br,ja
ENEMY_FATWOMAN_DESC,"Melee attacker with Knockback.
Reflects projectiles. Units that contact it get knocked back.
Trample.",,Atacante cuerpo a cuerpo con retroceso.Devuelve los proyectiles. Las unidades que entran en contacto retroceden.Pisotón.,Attaque au corps-à-corps avec Recul.Renvoie les projectiles. Les unités qui le touchent sont repoussées.Piétinement.,"Nahkämpferin mit Rückstoß.Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.Trampel.",Attaccante corpo a corpo con Contraccolpo.Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.Calpestamento.,Agressor corpo-a-corpo com empurrãoReflete projéteis. Unidades que atacam ou entram em contato são empurradas.Atropelamento.,ノックバック​付きの​近接攻撃。​飛び道具を​反射する。​接触した​ユニットを​ノックバックさせる。​踏みつけ。[b][/b]
EABILITY_BIRTH_NAME,Birth,,Nacimiento,Naissance,Gebären,Nascita,Nascimento,誕生
,,,,,,,,
SPECIAL_STRAY_BUNNY,Bunny,,Conejito,Lapin,Hase,Coniglietto,Coelho,バニー
SPECIAL_STRAY_BEAVER,Beaver,,Castor,Castor,Biber,Castoro,Castor,ビーバー
SPECIAL_STRAY_PIG,Pig,,Cerdo,Cochon,Schwein,Maiale,Porco,ピッグ
SPECIAL_STRAY_DOG,Dog,,Perro,Chien,Hund,Cane,Cachorro,ドッグ
SPECIAL_STRAY_SKUNK,Skunk,,Mofeta,Mouffette,Stinktier,Puzzola,Gambá,スカンク
SPECIAL_STRAY_PORCUPINE,Porcupine,,Puercoespín,Porc-épic,Stacheltier,Porcospino,Porco-Espinho,ポーキュパイン
SPECIAL_STRAY_ISAAC,Isaac,,Isaac,Isaac,Isaac,Isaac,Isaac,アイザック
SPECIAL_STRAY_EDMUND,Edmund,,Edmund,Edmund,Edmund,Edmund,Edmund,エドマンド
SPECIAL_STRAY_TYLER,Tyler,,Tyler,Tyler,Tyler,Tyler,Tyler,タイラー
SPECIAL_STRAY_FIJIMERMAID,Fiji Mermaid,,Sirena de Fiyi,Sirène des Fidji,Fidschi-Meerjungfrau,Sirena delle Fiji,Sereia de Fiji,フィジー人魚
SPECIAL_STRAY_JERSEYDEVIL,Jersey Devil,,Demonio de Jersey,Diable du Jersey,Jersey Devil,Diavolo del Jersey,Demônio de Jersey,ジャージー・​デビル
SPECIAL_STRAY_SONICHU,Sonichu,,Sonichu,Sonichu,Sonichu,Sonichu,Sonichu,ソニチュウ
SPECIAL_STRAY_BIGFOOT,Bigfoot,,Bigfoot,Bigfoot,Bigfoot,Bigfoot,Pé-Grande,ビッグフット
SPECIAL_STRAY_NESSIE,Nessie,,Nessie,Nessie,Nessie,Nessie,Nessie,ネッシー
SPECIAL_STRAY_GREY,Grey,,Grey,Gris,Grauer,Grigio,Cinza,グレイ
SPECIAL_STRAY_MOTHMAN,Mothman,,Mothman,Homme-papillon,Mothman,Uomo Falena,Homem-Mariposa,モスマン
SPECIAL_STRAY_SLENDERMAN,Slenderman,,Slenderman,Slenderman,Slenderman,Slenderman,Slenderman,スレンダーマン
,,,,,,,,
PAUSE_MENU_HEADER,Paused,,Pausa,Pause,Pause,In pausa,Pausado,ポーズ
PAUSE_MENU_BUTTON_RESUME,Resume,,Reanudar,Reprendre,Weiter,Riprendi,Continuar,再開
PAUSE_MENU_BUTTON_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,設定
PAUSE_MENU_BUTTON_QUITTOMENU,Save and Quit to Menu,,Guardar y salir al menú,Sauvegarder et retourner au menu,Speichern und zurück zum Menü,Salva ed esci al menu,Salvar e sair para o menu,セーブして​メニューに​戻る
PAUSE_MENU_BUTTON_QUITTODESKTOP,Save and Quit to Desktop,,Guardar y salir al escritorio,Sauvegarder et quitter le jeu,Speichern und beenden,Salva ed esci al desktop,Salvar e sair para a área de trabalho,セーブして​デスクトップに​戻る[b][/b]
PAUSE_MENU_BUTTON_ABANDONRUN,Abandon Adventure,,Abandonar aventura,Abandonner l'aventure,Abenteuer abbrechen,Abbandona avventura,Abandonar aventura,冒険を​放棄
PAUSE_MENU_BUTTON_ABANDONFIGHT,Concede Fight,,Rendirse,Déclarer forfait,Kampf aufgeben,Rinuncia al combattimento,Desistir da luta,戦闘を​降参
PAUSE_MENU_BUTTON_SKIPTUTORIAL,Skip Tutorial,,Omitir tutorial,Passer le didacticiel,Tutorial überspringen,Salta il tutorial,Pular tutorial,チュートリアルを​スキップ
PAUSE_MENU_BUTTON_BACK,Back,,Atrás,Retour,Zurück,Indietro,Voltar,戻る
PAUSE_MENU_BUTTON_GAMESETTINGS,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade,ゲーム設定
PAUSE_MENU_BUTTON_VIDEOSETTINGS,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo,ビデオ設定
PAUSE_MENU_BUTTON_AUDIOSETTINGS,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio,オーディオ設定
PAUSE_MENU_BUTTON_CONTROLS,Controls,,Controles,Commandes,Steuerung,Controlli,Controles,操作設定
SETTINGS_MENU_HEADER,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,設定
SETTINGS_GAME_HEADER,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade,ゲーム設定
SETTINGS_LANGUAGE_LABEL,Language,,Idioma,Langue,Sprache,Lingua,Idioma,言語
SETTINGS_HUMPING_LABEL,Humping Animations,,Animaciones de ñiqui ñiqui,Animations de coït,Paarungsanimation,Animazioni di accoppiamento,Animações impróprias,交尾アニメーション
SETTINGS_HUMPING_OPT_NORMAL,Normal,,Normales,Normales,Normal,Normali,Normal,通常
SETTINGS_HUMPING_OPT_SAFE,Safe,,Seguras,Tout public,Kinderfreundlich,Sicure,Seguro,セーフ
SETTINGS_HUMPING_OPT_RANDOM,Random,,Al azar,Aléatoires,Zufall,Casuali,Aleatório,ランダム
SETTINGS_AUTOSELECT_LABEL,Autoselect Basic Actions,,Autoseleccionar acciones básicas,Autosélection des actions de base,Grundaktionen automatisch auswählen,Selezione automatica azioni di base,Selecionar ações básicas automaticamente,基本アクション自動選択
SETTINGS_DOUBLECLICK_LABEL,Targeting Empty Tiles Requires Double Click,,Es necesario hacer doble clic para marcar casillas vacías,Double-clic pour cibler une case vide,Anvisieren leerer Felder erfordert Doppelklick,Per selezionare caselle vuote è necessario un doppio clic,Mirar em espaços vazios requer clique duplo,空タイルの​選択に​ダブルクリックが​必要[b][/b]
SETTINGS_DOUBLECLICK_LABEL_GAMEPAD,Targeting Empty Tiles Requires Double Press,,Es necesario presionar dos veces para marcar casillas vacías,Double appui pour cibler une case vide,Anvisieren leerer Felder erfordert doppelten Tastendruck,Per selezionare caselle vuote è necessario una doppia pressione,Mirar em espaços vazios requer pressionar duas vezes,空タイルの​選択に​ダブル押しが​必要[b][/b]
SETTINGS_MAXSTATUSES_LABEL,Max Statuses Shown Before Collapse,,Máximo de estados mostrados antes de ocultarlos,Statuts max. affichés avant réduction,Max. Anzahl Statuseffekte vor Verkleinerung,Numero massimo di stati visualizzati prima della chiusura,Mostrar atributos máximos antes de colapsar,折りたたみ前の​最大ステータス表示数[b][/b]
SETTINGS_MAXSTATUSES_OPT_0,Hover Only,,Solo pasar el cursor,Survol uniquement,Nur bei Hover,Solo al passaggio del cursore,Apenas passar,ホバーのみ
SETTINGS_COLLAPSEELITEBUFFS_LABEL,Collapse Multiple Elite Buffs,,Ocultar varias ventajas de élite,Réduire les bonus d'élite des boss,Mehrere Elitestärkungen zusammenfassen,Chiudi bonus élite multipli,Colapsar múltiplos reforços de elite,複数エリートバフを​折りたたむ
SETTINGS_COMBATSPEED_LABEL,Combat Speed,,Velocidad de combate,Vitesse de combat,Kampfgeschwindigkeit,Velocità di combattimento,Velocidade do combate,戦闘速度
SETTINGS_TOOLTIPSIZE_LABEL,Tooltip Size,,Tamaño de información,Taille des infobulles,Größe von Tooltipps,Dimensione suggerimenti,Tamanho das dicas,ツールチップサイズ
SETTINGS_STATUSBARSIZE_LABEL,Status Bar Size,,Tamaño de barra de estado,Taille de la barre de statut,Größe der Statusleiste,Dimensione barra di stato,Tamanho da barra de estado,ステータスバーサイズ
SETTINGS_SAVEFILEBACKUP_LABEL,Save File Backup Period,,Intervalo de guardado de archivos,Fréquence des sauvegardes auto.,Backupfrequenz von Speicherständen,Frequenza backup dei salvataggi,Frequência de backup de salvamentos,セーブデータの​バックアップ間隔[b][/b]
SETTINGS_SAVEFILEBACKUP_OPT_15,15 min,,15 min,15&nbsp;min,15 Min.,15 min,15min,15分
SETTINGS_SAVEFILEBACKUP_OPT_30,30 min,,30 min,30&nbsp;min,30 Min.,30 min,30min,30分
SETTINGS_SAVEFILEBACKUP_OPT_60,1 hr,,1 h,1&nbsp;h,1 Std.,1 ora,1h,1時間
SETTINGS_SAVEFILEBACKUP_OPT_120,2 hr,,2 h,2&nbsp;h,2 Std.,2 ore,2h,2時間
SETTINGS_SAVEFILEBACKUP_OPT_0,Never,,Nunca,Jamais,Nie,Mai,Nunca,なし
SETTINGS_VIDEO_HEADER,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo,ビデオ設定
SETTINGS_FULLSCREEN_LABEL,Fullscreen,,Pantalla completa,Plein écran,Vollbild,Schermo intero,Tela cheia,フルスクリーン
SETTINGS_ANTIALIAS_LABEL,Antialias (MSAA),,Antialiasing (MSAA),Anticrénelage (MSAA),Antialiasing (MSAA),Antialias (MSAA),Antialiasing (MSAA),アンチエイリアス (MSAA)
SETTINGS_ANTIALIAS_OPT_0,Off,,No,Désactivé,Aus,Disattivato,Não,オフ
SETTINGS_VSYNC_LABEL,VSync,,Sincronización vertical,Synchronisation verticale,VSync,V-Sync,VSync,VSync
SETTINGS_RENDERSCALE_LABEL,Render Scale,,Escala de renderizado,Échelle de rendu,Render-Skalierung,Scala di rendering,Escala de renderização,レンダースケール
SETTINGS_VIGNETTE_LABEL,Vignette Flicker,,Parpadeo de viñeta,Effet de vignette clignotant,Vignette-Flimmern,Sfarfallio della vignettatura,Tremor de vinheta,ビネットフリッカー
SETTINGS_VIGNETTE_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal,通常
SETTINGS_VIGNETTE_OPT_LOW,Low,,Bajo,Faible,Niedrig,Basso,Baixo,低
SETTINGS_VIGNETTE_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum,なし
SETTINGS_NOISEGRAIN_LABEL,Noise & Grain,,Ruido y granulado,Effets de bruit et de grain,Rauschen & Körnung,Rumore e grana,Interferência e granulação,ノイズ＆グレイン
SETTINGS_NOISEGRAIN_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal,通常
SETTINGS_NOISEGRAIN_OPT_MEDIUM,No Hair,,Sin pelo,Pas de cheveux,Keine Haare,Niente peli,Sem pelos,毛なし
SETTINGS_NOISEGRAIN_OPT_LOW,No Dust,,Sin polvo,Pas de poussière,Keine Staubkörner,Niente polvere,Sem poeira,ほこりなし
SETTINGS_NOISEGRAIN_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum,なし
SETTINGS_CURSORMODE_LABEL,Cursor Mode,,Modo de cursor,Mode curseur,Mauszeigermodus,Modalità cursore,Modo de cursor,カーソルモード
SETTINGS_CURSORMODE_OPT_INGAME,In Game,,Juego,En jeu,Spiel,Di gioco,Jogo,ゲーム内
SETTINGS_CURSORMODE_OPT_DEVICE,Device,,Dispositivo,Appareil,Gerät,Del dispositivo,Dispositivo,デバイス
SETTINGS_AUDIO_HEADER,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio,オーディオ設定
SETTINGS_MASTERVOLUME,Master Volume,,Volumen principal,Volume principal,Gesamtlautstärke,Volume principale,Volume principal,マスター音量
SETTINGS_MUSICVOLUME,Music Volume,,Volumen de música,Musique,Musik,Volume musica,Volume da música,BGM音量
SETTINGS_SFXVOLUME,SFX Volume,,Volumen de efectos,Effets sonores,Soundeffekte,Volume effetti sonori,Volume de efeitos,効果音音量
SETTINGS_MEOWVOLUME,Meow Volume,,Volumen de maullidos,Miaulements,Miauen,Volume miagolii,Volume de miados,ニャー音量
SETTINGS_HOUSEMEOWVOLUME,Meow Volume (House),,Volumen de maullidos (casa),Miaulements (maison),Miauen (im Haus),Volume miagolii (in casa),Volume de miados (casa),ニャー音量​（家）
SETTINGS_KEYCONTROLS_HEADER,Keyboard Controls,,Controles de teclado,Commandes au clavier,Tastatur,Controlli tastiera,Teclado,キーボード操作
SETTINGS_PADCONTROLS_HEADER,Gamepad Controls,,Controles de mando,Commandes à la manette,Gamepad,Controlli gamepad,Controle,ゲームパッド操作
SETTINGS_CONTROLS_GENERAL_COLUMNHEADER,General,,General,En général,Allgemein,Generale,Geral,全般
SETTINGS_CONTROLS_HOTKEYS_COLUMNHEADER,Combat Hotkeys,,Atajos de combate,En combat,Kampf,Tasti di scelta rapida combattimento,Teclas rápidas de combate,戦闘ホットキー
SETTINGS_CONTROLS_ACTIONS_COLUMNHEADER,Actions,,Acciones,Actions,Aktionen,Azioni,Ações,アクション
SETTINGS_CONTROLS_RESET,Reset Defaults,,Restaurar por defecto,Par défaut,Zurücksetzen,Ripristina predefiniti,Restaurar padrões,初期設定に​戻す
SETTINGS_CONTROLBINDING_SELECT,Select,,Seleccionar,Sélectionner,Auswählen,Seleziona,Selecionar,選択
SETTINGS_CONTROLBINDING_EXAMINE,Examine,,Examinar,Examiner,Untersuchen,Esamina,Examinar,調べる
SETTINGS_CONTROLBINDING_TACTIVALVIEW,Tactical View,,Vista táctica,Vue tactique,Taktische Ansicht,Visuale tattica,Visão tática,戦術ビュー
SETTINGS_CONTROLBINDING_CANCEL,Cancel,,Cancelar,Annuler,Abbrechen,Annulla,Cancelar,キャンセル
SETTINGS_CONTROLBINDING_PAUSE,Pause,,Pausa,Mettre en pause,Pause,Pausa,Pausar,ポーズ
SETTINGS_CONTROLBINDING_ZOOMIN,Zoom In,,Acercar,Zoomer,Hereinzoomen,Zoom avanti,Aproximar,ズームイン
SETTINGS_CONTROLBINDING_ZOOMOUT,Zoom Out,,Alejar,Dézoomer,Herauszoomen,Zoom indietro,Afastar,ズームアウト
SETTINGS_CONTROLBINDING_FLIPFURNITURE,Flip Furniture,,Girar mueble,Tourner les meubles,Möbel spiegeln,Capovolgi mobili,Virar móveis,家具を​反転
SETTINGS_CONTROLBINDING_SKIPCUTSCENE,Skip Cutscene,,Omitir escena,Passer la cinématique,Zwischensequenz überspringen,Salta filmati,Pular cena,カットシーンを​スキップ
SETTINGS_CONTROLBINDING_HOTKEYMOVE,Move,,Movimiento,Se déplacer,Bewegen,Sposta,Mover,移動
SETTINGS_CONTROLBINDING_HOTKEYWEAPON,Weapon,,Arma,Armes,Waffe,Arma,Arma,武器
SETTINGS_CONTROLBINDING_HOTKEYTRINKET,Trinket,,Baratija,Babioles,Zubehör,Ciondolo,Acessório,アクセサリー
SETTINGS_CONTROLBINDING_HOTKEYBASICATTACK,Basic Attack,,Ataque básico,Attaque de base,Grundangriff,Attacco base,Ataque básico,通常攻撃
SETTINGS_CONTROLBINDING_HOTKEYSPELL1,Spell 1,,Hechizo 1,Sort&nbsp;1,Zauber 1,Incantesimo 1,Encantamento 1,スペル1
SETTINGS_CONTROLBINDING_HOTKEYSPELL2,Spell 2,,Hechizo 2,Sort&nbsp;2,Zauber 2,Incantesimo 2,Encantamento 2,スペル2
SETTINGS_CONTROLBINDING_HOTKEYSPELL3,Spell 3,,Hechizo 3,Sort&nbsp;3,Zauber 3,Incantesimo 3,Encantamento 3,スペル3
SETTINGS_CONTROLBINDING_HOTKEYSPELL4,Spell 4,,Hechizo 4,Sort&nbsp;4,Zauber 4,Incantesimo 4,Encantamento 4,スペル4
SETTINGS_CONTROLBINDING_HOTKEYSPELL5,Spell 5,,Hechizo 5,Sort&nbsp;5,Zauber 5,Incantesimo 5,Encantamento 5,スペル5
SETTINGS_CONTROLBINDING_HOTKEYENDTURN,End Turn,,Terminar turno,Fin du tour,Zug beenden,Fine del turno,Finalizar turno,ターン終了
SETTINGS_CONTROLBINDING_CURSOR,Cursor,,Cursor,Curseur,Mauszeiger,Cursore,Cursor,カーソル
SETTINGS_CONTROLBINDING_NAVLEFT,Nav Left,,Mover izquierda,Nav. à gauche,Nach links,Naviga a sinistra,Nav. esq,左移動
SETTINGS_CONTROLBINDING_NAVRIGHT,Nav Right,,Mover derecha,Nav. à droite,Nach rechts,Naviga a destra,Nav. dir,右移動
SETTINGS_CONTROLBINDING_NAVUP,Nav Up,,Mover arriba,Nav en haut,Nach oben,Naviga su,Nav. cima,上移動
SETTINGS_CONTROLBINDING_NAVDOWN,Nav Down,,Mover abajo,Nav. en bas,Nach unten,Naviga giù,Nav. baixo,下移動
SETTINGS_CONTROLBINDING_NAVFORWARD,Nav Forward,,Adelante,Nav. en avant,Nach vorn,Naviga in avanti,Nav. frente,前進
SETTINGS_CONTROLBINDING_NAVBACKWARD,Nav Backward,,Atrás,Nav. en arrière,Zurück,Naviga indietro,Nav. trás,後退
SETTINGS_CONTROLBINDING_INVENTORY,Inventory,,Inventario,Inventaire,Inventar,Inventario,Inventário,インベントリ
SETTINGS_CONTROLBINDING_PIPE,Pipe Shortcut,,Atajo de tubería,Raccourci tuyau,Kürzel: Rohr,Scorciatoia tubo,Atalho de cano,パイプショートカット
SETTINGS_CONTROLBINDING_BOX,Box Shortcut,,Atajo de caja,Raccourci boîte,Kürzel: Box,Scorciatoia scatola,Atalho de caixa,ボックスショートカット
SETTINGS_CONTROLBINDING_CAMERA,Camera,,Cámara,Caméra,Kamera,Telecamera,Câmera,カメラ
,,,,,,,,
MAIN_MENU_PLAY,Play,,Jugar,Jouer,Spielen,Gioca,Jogar,プレイ
MAIN_MENU_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,設定
MAIN_MENU_QUIT,Quit,,Salir,Quitter,Beenden,Esci,Sair,終了
MAIN_MENU_CREDITS,Credits,,Créditos,Générique,Mitarbeitende,Riconoscimenti,Créditos,クレジット
MAIN_MENU_COMMUNITY_DISCORD,Community Discord,,Discord de la comunidad,Communauté Discord,Community Discord,Discord della community,Discord,コミュニティDiscord
MAIN_MENU_MEOW,Meow,,Maullido,Miauler,Miau,Miao,Miau,ニャー
MAIN_MENU_DELETEFILE,Terminate,,Borrar,Exterminer,Terminieren,Termina,Apagar,データ削除
MAIN_MENU_DELETECONFIRMATION,Are you sure you want to erasesave file {savefilenumber}?,,¿Seguro que quieres borrar el archivo de guardado {savefilenumber}?,Supprimer la sauvegarde {savefilenumber}&nbsp;?,Speicherstand&nbsp;{savefilenumber} wirklich löschen?,Vuoi davvero cancellareil file di salvataggio {savefilenumber}?,Tem certeza de que desejaapagar o arquivo {savefilenumber}?,セーブファイル{savefilenumber}を​本当に​削除しますかに​ゃ?[b][/b]
SAVE_FILE_COMPLETION_PERCENT,{percent}% Complete,,{percent} % completado,Progression&nbsp;: {percent}&nbsp;%,{percent}&nbsp;% Fortschritt,Completamento: {percent}%,{percent}% concluído,達成率{percent}%
,,,,,,,,
POPUP_TRY_ABANDON_RUN,"Are you sure you want to abandon this adventure? You will lose the cats, items, food, money, and furniture you found.",,"¿Seguro que quieres abandonar esta aventura? Perderás los gatos, los objetos, la comida, el dinero y los muebles que hayas encontrado.","Voulez-vous vraiment abandonner cette aventure&nbsp;? Vous perdrez vos chats, objets, nourriture, argent, meubles.","Willst du dein Abenteuer wirklich abbrechen? Du verlierst sämtliche Katzen, Gegenstände, Futter, Geld und Möbel, die du gefunden hast.","Vuoi davvero abbandonare quest'avventura? Perderai i gatti, gli oggetti, il cibo, i soldi e i mobili che hai trovato.","Tem certeza de que deseja abandonar esta aventura? Você perderá gatos, itens, comida, dinheiro e móveis que encontrou.",本当に​この​冒険を​諦めますかに​ゃ?見つけた猫、​アイテム、​食料、​お金、​家具が​全部​失われますにゃ。[b][/b]
POPUP_TRY_ABANDON_HOUSEBOSS,Are you sure you want to concede this fight? You will lose the cats participating in the fight.,,¿Seguro que quieres rendirte? Perderás los gatos que participen en la pelea.,Voulez-vous vraiment déclarer forfait&nbsp;? Vous perdrez les chats participant au combat.,"Willst du den Kampf wirklich aufgeben? Du verlierst sämtliche Katzen, die an dem Kampf teilgenommen haben.",Vuoi davvero rinunciare a questo combattimento? Perderai i gatti che partecipano al combattimento.,Tem certeza de que deseja desistir desta luta? Você perderá os gatos que estão lutando.,本当に​この​戦闘を​降参しますかに​ゃ?参加している​猫が​全て​失われますにゃ。[b][/b]
POPUP_TRY_SKIP_TUTORIAL,Are you sure you want to skip the tutorial?,,¿Seguro que quieres saltarte el tutorial?,Voulez-vous vraiment passer le didacticiel&nbsp;?,Willst du das Tutorial wirklich überspringen?,Vuoi davvero saltare il tutorial?,Tem certeza de que deseja pular o tutorial?,本当に​チュートリアルを​スキップしますかに​ゃ?[b][/b]
POPUP_TRY_SAVESCUM_BATTLE,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.,本当に​戦闘中に​終了しますかに​ゃ?戦闘を​やり直すことになりますにゃ。[b][/b]
POPUP_TRY_SAVESCUM_HOUSEBOSS,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.,本当に​戦闘中に​終了しますかに​ゃ?戦闘を​やり直すことになりますにゃ。[b][/b]
POPUP_TRY_SAVESCUM_EVENT,Are you sure you want to quit mid-event? You will have to redo the event,,¿Seguro que quieres abandonar a mitad del evento? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter au milieu d'un événement&nbsp;? Vous devrez rejouer l'événement depuis le début,Willst du wirklich mitten im Ereignis aufhören? Das Ereignis beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare l'evento a metà? Dovrai ripetere l'evento,Tem certeza de que deseja sair no meio do evento? Você precisará refazê-lo.,本当に​イベント中に​終了しますかにゃ?イベントを​やり直すことになりますにゃ。[b][/b]
POPUP_TRY_SAVESCUM_WARNING_1,", and Steven will give you a warning when you return.","these get stapled on after the ""are you sure you want to quit mid fight string""",¡Y Steven te mostrará una advertencia cuando vuelvas!,", et Steven vous donnera un avertissement à votre retour."," und Steven wird böse sein, wenn du zurückkehrst.", e Steven ti infliggerà un'ammonizione al tuo ritorno., e Steven vai chamar sua atenção quando você voltar.,、​そして​戻ると、​スティーブンから​警告を​受けますにゃ。[b][/b]
POPUP_TRY_SAVESCUM_WARNING_2,", and Steven will give you a [c:red]punishment[/c] when you return.",,¡Y Steven te [c:red]castigará[/c] cuando vuelvas!,", et Steven vous [c:red]punira[/c] à votre retour."," und Steven wird dich [c:red]bestrafen[/c], wenn du zurückkehrst.", e Steven ti infliggerà una [c:red]punizione[/c] al tuo ritorno., e Steven vai te dar uma [c:red]punição[/c] quando você voltar.,、​そして​戻ると、​スティーブンから[c:red]罰[/c]を​受けますにゃ。
POPUP_TRY_SAVESCUM_COUNT,(You have save scummed 1 time already on this adventure),,(Ya has hecho trampas 1 vez en esta aventura).,(Vous avez déjà bidouillé votre sauvegarde 1&nbsp;fois durant cette aventure.),(Du hast während dieses Abenteuers bereits einmal betrogen),(Hai già effettuato salvataggi a ripetizione una volta in quest'avventura),(Você já recarregou 1 vez nesta aventura),(この​冒険で​既に​1回セーブロードを​していますに​ゃ)[b][/b]
POPUP_TRY_SAVESCUM_COUNT_PLURAL,(You have save scummed {count} times already on this adventure),,(Ya has hecho trampas {count} veces en esta aventura).,(Vous avez déjà bidouillé votre sauvegarde {count} fois durant cette aventure.),(Du hast während dieses Abenteuers bereits {count}-mal betrogen),(Hai già effettuato salvataggi a ripetizione {count} volte in quest'avventura),(Você já recarregou {count} vezes nesta aventura),(この​冒険で​既に{count}回セーブロードを​していますに​ゃ)[b][/b]
,,,,,,,,
