KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ABILITY_GROOM_DESC,Remove all of the debuffs on yourself or an adjacent unit.,,Se elimina todas las desventajas de sí misma o de una adyacente.,Retire tous les malus sur vous ou une unité adjacente.,"Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist.",Rimuove tutti i malus da te o da un'unità adiacente,Remova todos os enfraquecimentos de si e de uma unidade adjacente.,,,自分または​隣接ユニットの​デバフを​全て​除去する。[b][/b],
ABILITY_GROOM2_DESC,Remove all of the debuffs and heal a little HP to yourself or an adjacent unit.,,Se elimina todas las desventajas de sí misma o de una adyacente y le devuelve algunos PS.,Retire tous les malus sur vous ou une unité adjacente et soigne quelques PV.,"Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist und heile dich oder die Einheit.",Rimuove tutti i malus da te o da un'unità adiacente e cura una piccola quantità di PS.,Remova todos os enfraquecimentos e cure um pouco da sua saúde ou de uma unidade adjacente.,,,自分または​隣接ユニットの​デバフを​全て​除去し、​HPを​少し​回復する。[b][/b],
ABILITY_ROLL_NAME,Roll,,Rodar,Roulade,Rolle,Rotolamento,Cambalhota,,,ローリング,
ABILITY_ROLL_DESC,Roll up to three tiles in a straight line.,,Rueda hasta 3 casillas en línea recta.,Roulez sur&nbsp;1&nbsp;à&nbsp;3&nbsp;cases en ligne droite.,Rolle bis zu drei Felder in einer geraden Linie.,Rotola fino a una distanza di tre caselle in linea retta.,Role por até três espaços em uma linha reta.,,,直線に​最大3タイル転がる。,
ABILITY_ROLL2_DESC,Roll up to ten tiles in a straight line.,,Rueda hasta 10 casillas en línea recta.,Roulez sur&nbsp;1&nbsp;à&nbsp;10&nbsp;cases en ligne droite.,Rolle bis zu zehn Felder in einer geraden Linie.,Rotola fino a una distanza di dieci caselle in linea retta.,Role por até dez espaços em uma linha reta.,,,直線に​最大10タイル転がる。,
ABILITY_SHARPENCLAWS_NAME,Sharpen Claws,,Afilado de garras,Griffes aiguisées,Krallen schärfen,Artigli Affilati,Afiar garras,,,爪とぎ,
ABILITY_SHARPENCLAWS_DESC,Gain +1 [img:str].,,Obtiene +1 [img:str].,[img:str]&nbsp;+1.,Erhalte +1&nbsp;[img:str].,Ottieni +1 alla [img:str].,Obtenha +1 de [img:str].,,,[img:str]+1を​得る。,
ABILITY_SHARPENCLAWS2_DESC,Gain +1 [img:str].Bonus Passive: Your basic attack inflicts Bleed.,,Obtiene +1 [img:str].Pasiva de bonificación: El ataque básico inflige hemorragia.,[img:str]&nbsp;+1.Passif bonus&nbsp;: votre attaque de base inflige Saignement.,Erhalte +1&nbsp;[img:str].Bonuspassiveffekt: Dein Grundangriff verursacht Blutung.,Ottieni +1 alla [img:str].Bonus Passivo: il tuo attacco base infligge Sanguinamento.,Obtenha +1 de [img:str].Bônus passivo: seu ataque básico aplica sangramento.,,,[img:str]+1を​得る。​ボーナスパッシブ:通常攻撃が​出血を​付与する。,
ABILITY_REACH_NAME,Reach,,Extensión,Allonge,Strecken,Portata,Alcance,,,リーチ,
ABILITY_REACH_DESC,Your next basic attack has +1 range.,,El siguiente ataque básico tiene +1 de alcance.,Votre prochaine attaque de base gagne Portée&nbsp;+1.,Dein nächster Grundangriff hat +1&nbsp;Reichweite.,Il tuo prossimo attacco base ha +1 al raggio d'azione.,Seu próximo ataque possui +1 de alcance.,,,次の​通常攻撃の​射程が​+1される。[b][/b],
ABILITY_REACH2_DESC,Your next basic attack has +3 range.,,El siguiente ataque básico tiene +3 de alcance.,Votre prochaine attaque de base gagne Portée&nbsp;+3.,Dein nächster Grundangriff hat +3&nbsp;Reichweite.,Il tuo prossimo attacco base ha +3 al raggio d'azione.,Seu próximo ataque possui +3 de alcance.,,,次の​通常攻撃の​射程が​+3される。[b][/b],
ABILITY_BORROWMANA_NAME,Borrow Mana,,Préstamo de maná,Emprunt de mana,Mana leihen,Prestito di Mana,Empréstimo de mana,,,マナ借用,
ABILITY_BORROWMANA_DESC,Steal up to 5 mana from an ally.[s:.7](Castable once per turn.)[/s],,Roba 5 de maná a un aliado.[s:.7](Se puede lanzar una vez por turno).[/s],Volez jusqu'à 5&nbsp;mana à une unité alliée.[s:.7](Une fois par tour.)[/s],Sauge einem Verbündeten bis zu 5&nbsp;Mana ab.[s:.7](Einmal pro Zug verwendbar.)[/s],Ruba fino a 5 mana da un alleato.[s:.7](Lanciabile una volta per turno.)[/s],Roube até 5 de mana de um aliado.[s:.7](Um lançamento por turno.)[/s],,,味方から​最大5マナを​奪う。[s:.7](ターンに​1回使用可能。)[/s],
ABILITY_BORROWMANA2_DESC,Steal all of an ally's mana.[s:.7](Castable once per turn.)[/s],,Roba todo el maná de un aliado.[s:.7](Se puede lanzar una vez por turno).[/s],Volez tout le mana d'une unité alliée.[s:.7](Une fois par tour.)[/s],Sauge einem Verbündeten sämtliches Mana ab.[s:.7](Einmal pro Zug verwendbar.)[/s],Ruba tutto il mana di un alleato.[s:.7](Lanciabile una volta per turno.)[/s],Roube toda a mana de um aliado.[s:.7](Um lançamento por turno.)[/s],,,味方の​マナを​全て​奪う。[s:.7](ターンに​1回使用可能。)[/s],
ABILITY_SOOTHINGGLOW_NAME,Soothing Glow,,Brillo calmante,Éclat apaisant,Beruhigender Schein,Bagliore Lenitivo,Brilho Calmante,,,癒しの​光,
ABILITY_SOOTHINGGLOW_DESC,Heal yourself 1.,,Recupera 1 PS.,Soignez-vous de 1.,Heile dich um 1&nbsp;LP.,Ti curi di 1 PS.,Cure 1 ponto de sua saúde.,,,自分を​1回復する。,
ABILITY_SOOTHINGGLOW2_DESC,Heal yourself 1 and gain +1 to a random stat.,,Recupera 1 PS y obtiene +1 de un atributo al azar.,Soignez-vous de 1&nbsp;et gagnez +1&nbsp;à une stat aléatoire.,Heile dich um 1&nbsp;LP und erhalte +1 auf ein zufälliges Attribut.,Ti curi di 1 PS e ottieni +1 a una statistica casuale.,Cure 1 ponto de sua saúde e obtenha +1 em um atributo aleatório.,,,自分を​1回復し、​ランダムな​ステータス+1を​得る。[b][/b],
ABILITY_PONDER_NAME,Ponder,,Reflexión,Réflexion,Grübeln,Meditazione,Ponderação,,,思索,
ABILITY_PONDER_DESC,Gain +1 [img:int].,,Obtiene +1 [img:int].,[img:int]&nbsp;+1.,Erhalte +1&nbsp;[img:int].,Ottieni +1 all'[img:int].,Obtenha +1 de [img:int].,,,[img:int]+1を​得る。,
ABILITY_PONDER2_DESC,Gain +1 [img:int] and conjure a random bonus ability.,,Obtiene +1 [img:int] e invoca una habilidad de bonificación al azar.,[img:int]&nbsp;+1&nbsp;et conjure une compétence bonus aléatoire.,Erhalte +1&nbsp;[img:int] und beschwöre eine zufällige Bonusfähigkeit.,Ottieni +1 all'[img:int] ed evochi un'abilità bonus casuale.,Obtenha +1 de [img:int] e conjure uma habilidade bônus aleatória.,,,[img:int]+1を​得る。​ランダムな​ボーナスアビリティを​獲得する。,
ABILITY_FOCUS_NAME,Focus,,Concentración,Concentration,Konzentration,Concentrazione,Concentração,,,集中,
ABILITY_FOCUS_DESC,Gain +1 [img:dex].,,Obtiene +1 [img:dex].,[img:dex]&nbsp;+1.,Erhalte +1&nbsp;[img:dex].,Ottieni +1 alla [img:dex].,Obtenha +1 de [img:dex].,,,[img:dex]+1を​得る。,
ABILITY_FOCUS2_DESC,Gain +1 [img:dex].Bonus Passive: +25% critical hit chance.,,Obtiene +1 [img:dex].Pasiva de bonificación: +25 % de probabilidad de golpe crítico.,[img:dex]&nbsp;+1.Passif bonus&nbsp;: chances de coup critique&nbsp;+25&nbsp;%.,Erhalte +1&nbsp;[img:dex].Bonuspassiveffekt: +25%&nbsp;kritische Trefferchance.,Ottieni +1 alla [img:dex].Bonus Passivo: +25% di probabilità di colpo critico.,Obtenha +1 de [img:dex].Bônus passivo: +25% de chance de crítico.,,,[img:dex]+1を​得る。​ボーナスパッシブ:クリティカル率+25%。,
ABILITY_METABOLIZE_NAME,Metabolize,,Metabolismo,Robustesse,Metabolismus,Metabolizzazione,Metabolização,,,代謝,
ABILITY_METABOLIZE_DESC,Gain +1 [img:con].,,Obtiene +1 [img:con].,[img:con]&nbsp;+1.,Erhalte +1&nbsp;[img:con].,Ottieni +1 alla [img:con].,Obtenha +1 de [img:con].,,,[img:con]+1を​得る。,
ABILITY_METABOLIZE2_DESC,Gain +1 [img:con].Bonus Passive: +3 Health Regeneration.,,Obtiene +1 [img:con].Pasiva de bonificación: +3 de regeneración de salud.,[img:con]&nbsp;+1.Passif bonus&nbsp;: régénération de santé&nbsp;+3.,Erhalte +1&nbsp;[img:con].Bonuspassiveffekt: +3&nbsp;Lebensregeneration.,Ottieni +1 alla [img:con].Bonus Passivo: +3 a Rigenerazione Salute.,Obtenha +1 de [img:con].Bônus passivo: +3 de regeneração de saúde.,,,[img:con]+1を​得る。​ボーナスパッシブ:HP再生+3。,
ABILITY_BRAINSTORM_NAME,Brainstorm,,Lluvia de ideas,Brainstorming,Geistesblitz,Tempesta Mentale,Troca de Ideias,,,ブレインストーム,
ABILITY_BRAINSTORM_DESC,Reduce the costs of your other spells by 1 mana.,,Reduce en 1 de maná el coste de los demás hechizos.,Réduit le coût de vos autres sorts de 1&nbsp;mana.,Reduziert die Kosten all deiner anderen Zauber um 1&nbsp;Mana.,Riduci il costo dei tuoi altri incantesimi di 1 mana.,Reduza os custos dos seus outros encantamentos em 1 de mana.,,,他の​スペルの​コストを​1マナ減らす。[b][/b],
ABILITY_BRAINSTORM2_DESC,Reduce the cost of ALL of your spells by 1 mana.,,Reduce en 1 de maná el coste de todos sus demás hechizos.,Réduit le coût de tous vos sorts de 1&nbsp;mana.,Reduziert die Kosten ALL deiner Zauber um 1&nbsp;Mana.,Riduci il costo di TUTTI i tuoi altri incantesimi di 1 mana.,Reduza os custos de todos os seus encantamentos em 1 de mana.,,,全ての​スペルの​コストを​1マナ減らす。[b][/b],
ABILITY_CLAWSOUT_NAME,Claws Out,,Zarpazo,Toutes griffes dehors,Krallen zücken,Graffio Aguzzo,Garras Expostas,,,爪むき出し,
ABILITY_CLAWSOUT_DESC,Gain +1 Thorns.,,Obtiene +1 de espinas.,Épines&nbsp;+1.,Erhalte +1&nbsp;Dornen.,Ottieni +1 Spine.,Obtenha +1 de espinhos.,,,棘+1を​得る。,
ABILITY_CLAWSOUT2_DESC,"Gain +1 Thorns.[s:.7](This spell costs less.)[/s]",,Obtiene +1 de espinas.[s:.7](Este hechizo cuesta menos).[/s],Épines&nbsp;+1.[s:.7](Coût réduit.)[/s],Erhalte +1&nbsp;Dornen.[s:.7](Dieser Zauber kostet weniger.)[/s],Ottieni +1 Spine.[s:.7](Quest'incantesimo costa meno.)[/s],Obtenha +1 de espinhos.[s:.7](Este encantamento custa menos.)[/s],,,棘+1を​得る。[s:.7](この​スペルは​コストが​少ない。)[/s],
ABILITY_PREPARETOJUMP_NAME,Hop,,Brinco,Et hop&nbsp;!,Hüpfen,Saltello,Pulo,,,ホップ,
ABILITY_PREPARETOJUMP_DESC,Hop up to 2 tiles away.,,Salta hasta a 2 casillas de distancia.,Sautez jusqu'à 2&nbsp;cases plus loin.,Hüpfe bis zu 2&nbsp;Felder weit.,Salta fino a 2 caselle di distanza.,Pule para até 2 espaços de distância.,,,最大2タイル離れた​場所に​ホップする。[b][/b],
ABILITY_PREPARETOJUMP2_DESC,Hop up to 4 tiles away.,,Salta hasta a 4 casillas de distancia.,Sautez jusqu'à 4&nbsp;cases plus loin.,Hüpfe bis zu 4&nbsp;Felder weit.,Salta fino a 4 caselle di distanza.,Pule para até 4 espaços de distância.,,,最大4タイル離れた​場所に​ホップする。[b][/b],
ABILITY_SPELLBOOSTRANGE_NAME,Boost,,Potencia,Boost,Magische Stärkung,Potenziamento,Reforço,,,ブースト,
ABILITY_SPELLBOOSTRANGE_DESC,Gain +1 Magic Damage until end of turn.,,Obtiene +1 de daño mágico hasta el final del turno.,Dégâts magiques&nbsp;+1&nbsp;jusqu'à la fin du tour.,Erhalte bis zum Ende deines Zuges +1&nbsp;magischen Schaden.,Ottieni +1 al Danno Magico fino alla fine del turno.,Obtenha 1 de dano mágico até o final do turno.,,,ターン終了まで​魔法ダメージ+1を​得る。[b][/b],
ABILITY_SPELLBOOSTRANGE2_DESC,"Gain +1 Magic Damage until end of turn.[s:.7](This spell costs less.)[/s]",,Obtiene +1 de daño mágico hasta el final del turno.[s:.7](Este hechizo cuesta menos).[/s],Dégâts magiques&nbsp;+1&nbsp;jusqu'à la fin du tour.[s:.7](Coût réduit.)[/s],Erhalte bis zum Ende deines Zuges +1&nbsp;magischen Schaden.[s:.7](Dieser Zauber kostet weniger.)[/s],Ottieni +1 al Danno Magico fino alla fine del turno.[s:.7](Quest'incantesimo costa meno.)[/s],Obtenha +1 de dano mágico até o final do turno.[s:.7](Este encantamento custa menos.)[/s],,,ターン終了まで​魔法ダメージ+1を​得る。[s:.7](この​スペルは​コストが​少ない。)[/s],
ABILITY_STEAMROLLER_NAME,Steam Roller,,Apisonadora,Rouleau compresseur,Dampfwalze,Rullo Compressore,Rolo Compressor,,,蒸気ローラー,
ABILITY_STEAMROLLER_DESC,Trample over 1 tile.,,Pisotea 1 casilla.,Piétinement sur 1&nbsp;case.,Trampel über 1&nbsp;Feld.,Calpesta 1 casella.,Atropele por até 1 espaço.,,,1タイル蹂躙する。,
ABILITY_STEAMROLLER2_DESC,Trample over 3 tiles.,,Pisotea 3 casillas.,Piétinement sur 3&nbsp;cases.,Trampel über 3&nbsp;Felder.,Calpesta 3 caselle.,Atropele por até 3 espaços.,,,3タイル蹂躙する。,
ABILITY_GAMBLE_NAME,Gamble,,Apuesta,Pari,Glücksspiel,Azzardo,Aposta,,,ギャンブル,
ABILITY_GAMBLE_DESC,"Gain +2% critical hit chance. If your next attack is critical, deal +100% more damage and spawn coins.",,"Obtiene +2 % de probabilidad de golpe crítico. Si el próximo ataque es crítico, inflige +100 % de daño y genera monedas.","Chances de coup critique&nbsp;+2&nbsp;%. Si votre prochaine attaque est un coup critique, Dégâts&nbsp;+100&nbsp;% et des pièces apparaissent.","Erhalte +2&nbsp;% kritische Trefferchance. Wenn dein nächster Angriff kritisch trifft, verursache +100&nbsp;% erhöhten Schaden und lasse Münzen erscheinen.","Ottieni un +2% di probabilità di colpo critico. Se il tuo prossimo attacco è critico, infliggi +100% di danno in più e fai apparire delle monete.","Obtenha +2% de chance de crítico. Se seu próximo ataque for crítico, cause +100% de dano e gere moedas.",,,クリティカル率+2%を​得る。​次の​攻撃が​クリティカルの​場合、​ダメージが​+100%され、​コインを​生成する。[b][/b],
ABILITY_GAMBLE2_DESC,"Gain +2% critical hit chance. If your next attack is critical, deal +200% more damage and spawn more coins.",,"Obtiene +2 % de probabilidad de golpe crítico. Si el próximo ataque es crítico, inflige +200 % de daño y genera monedas.","Chances de coup critique&nbsp;+2&nbsp;%. Si votre prochaine attaque est un coup critique, Dégâts&nbsp;+200&nbsp;% et des pièces apparaissent.","Erhalte +2&nbsp;% kritische Trefferchance. Wenn dein nächster Angriff kritisch trifft, verursache +200&nbsp;% erhöhten Schaden und lasse viele Münzen erscheinen.","Ottieni un +2% di probabilità di colpo critico. Se il tuo prossimo attacco è critico, infliggi +200% di danno in più e fai apparire più monete.","Obtenha +2% de chance de crítico. Se seu próximo ataque for crítico, cause +200% de dano e gere moedas.",,,クリティカル率+2%を​得る。​次の​攻撃が​クリティカルの​場合、​ダメージが​+200%され、​より​多くの​コインを​生成する。[b][/b],
ABILITY_SOULREAP_NAME,Soul Reap,,Cosechadora de almas,Moisson d'âmes,Seelenernte,Mietitura d'Anime,Colheita de Alma,,,ソウルリープ,
ABILITY_SOULREAP_DESC,"Deal 1 damage to a unit within five tiles. If this kills it, gain 5 mana.",,"Inflige 1 de daño a una unidad en un radio de 5 casillas. Si la mata, obtiene 5 de maná.","Infligez 1&nbsp;point de dégâts à une unité à moins de 5&nbsp;cases. Si elle meurt, mana&nbsp;+5.","Verursache bei einer Einheit innerhalb von fünf Feldern 1&nbsp;Schaden. Wenn die Einheit stirbt, erhalte 5&nbsp;Mana.","Infliggi 1 di danno a un'unità entro cinque caselle. Se la uccidi, ottieni 5 mana.","Cause 1 de dano a uma unidade dentro de até 5 espaços de distância. Se isto a matar, obtenha 5 de mana.",,,5タイル以内の​ユニットに​1ダメージ。​これが​倒すと、​5マナ得る。[b][/b],
ABILITY_SOULREAP2_DESC,"Deal 1 damage to any unit. If this kills it, gain 5 mana.",,"Inflige 1 de daño a cualquier unidad. Si la mata, obtiene 5 de maná.","Infligez 1&nbsp;point de dégâts à une unité. Si elle meurt, mana&nbsp;+5.","Verursache bei einer beliebigen Einheit 1&nbsp;Schaden. Wenn die Einheit stirbt, erhalte 5&nbsp;Mana.","Infliggi 1 di danno a una qualsiasi unità. Se la uccidi, ottieni 5 mana.","Cause 1 de dano a qualquer unidade. Se isto a matar, obtenha 5 de mana.",,,任意の​ユニットに​1ダメージ。​これが​倒すと、​5マナ得る。[b][/b],
ABILITY_HUNT_NAME,Hunt,,Caza,Chasse,Jagd,Caccia,Caça,,,ハンティング,
ABILITY_HUNT_DESC,A ranged attack that turns anything it kills into meat.,,Un ataque a distancia que convierte en carne a todo lo que mata.,"Si vous tuez une unité avec cette attaque à distance, elle devient de la viande.","Ein Fernangriff, der Einheiten, die er tötet, in Fleisch verwandelt.",Un attacco a distanza che trasforma in carne tutto ciò che uccide.,Um ataque à distância que transforma tudo que mata em carne.,,,倒した​ものを​肉に​変える​遠距離攻撃。[b][/b],
ABILITY_HUNT2_DESC,A stronger ranged attack that turns anything it kills into meat.,,Un ataque a distancia más fuerte que convierte en carne a todo lo que mata.,"Si vous tuez une unité avec cette puissante attaque à distance, elle devient de la viande.","Ein stärkerer Fernangriff, der Einheiten, die er tötet, in Fleisch verwandelt.",Un attacco a distanza più potente che trasforma in carne tutto ciò che uccide.,Um ataque à distância mais forte que transforma tudo que mata em carne.,,,倒した​ものを​肉に​変えるより​強力な​遠距離攻撃。[b][/b],
ABILITY_FLEX_NAME,Flex,,Demostración,Flex,Muskelprotz,Contrazione,Flexão,,,フレックス,
ABILITY_FLEX_DESC,Gain +1 temporary Brace until your next turn and deal 1 knockback to each adjacent unit.,,Obtiene +1 de refuerzo temporal hasta el próximo turno e inflige 1 de retroceso a cada unidad adyacente.,Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour et Recul&nbsp;+1&nbsp;à chaque unité adjacente.,Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und verursache bei jeder benachbarten Einheit 1&nbsp;Rückstoß.,Ottieni +1 Guardia temporanea fino al tuo turno successivo e infliggi 1 Contraccolpo a ogni unità adiacente.,Obtenha +1 de preparação temporária e cause 1 de empurrão a cada unidade adjacente.,,,次の​ターンまで​一時的に​ガード+1を​得て、​隣接ユニットに​1ノックバックを​与える。[b][/b],
ABILITY_FLEX2_DESC,Gain +1 temporary Brace until your next turn and deal 3 knockback to each adjacent unit.[s:.7](This spell costs less.)[/s],,Obtiene +1 de refuerzo temporal hasta el próximo turno e inflige 3 de retroceso a cada unidad adyacente.[s:.7](Este hechizo cuesta menos).[/s],Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour et Recul&nbsp;+3&nbsp;à chaque unité adjacente.[s:.7](Coût réduit.)[/s],Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und verursache bei jeder benachbarten Einheit 3&nbsp;Rückstoß.[s:.7](Dieser Zauber kostet weniger.)[/s],Ottieni +1 Guardia temporanea fino al tuo turno successivo e infliggi 3 Contraccolpo a ogni unità adiacente.[s:.7](Quest'incantesimo costa meno.)[/s],Obtenha +1 de preparação temporária e cause 3 de empurrão a cada unidade adjacente.[s:.7](Este encantamento custa menos.)[/s],,,次の​ターンまで​一時的に​ガード+1を​得て、​隣接ユニットに​3ノックバックを​与える。[s:.7](この​スペルは​コストが​少ない。)[/s],
ABILITY_DART_NAME,Dart,,Dardo,Clou perçant,Wurfpfeil,Dardo,Dardo,,,ダーツ,
ABILITY_DART_DESC,Throw a nail that ignores shield.,,Lanza un clavo que ignora el escudo.,Lance un clou qui ignore la défense.,"Wirf einen Pfeil, der Schilde ignoriert.",Lancia un chiodo che ignora gli scudi.,Lance um prego que ignora escudos.,,,シールドを​無視する​釘を​投げる。[b][/b],
ABILITY_DART2_DESC,Throw a stronger nail that ignores shield.[s:.7](This spell costs less.)[/s],,Lanza un clavo más fuerte que ignora el escudo.[s:.7](Este hechizo cuesta menos).[/s],Lance un clou plus puissant qui ignore la défense.[s:.7](Coût réduit.)[/s],"Wirf einen stärkeren Pfeil, der Schilde ignoriert.[s:.7](Dieser Zauber kostet weniger.)[/s]",Lancia un chiodo più potente che ignora gli scudi.[s:.7](Quest'incantesimo costa meno.)[/s],Lance um prego que ignora escudos.[s:.7](Este encantamento custa menos.)[/s],,,シールドを​無視するより​強力な​釘を​投げる。[s:.7](この​スペルは​コストが​少ない。)[/s],
ABILITY_SMACK_NAME,Smack,,Bofetón,Baffe,Backpfeife,Sberla,Bofete,,,ペシペシ,
ABILITY_SMACK_DESC,A weak melee attack.,,Un ataque cuerpo a cuerpo débil.,Une faible attaque au corps-à-corps.,Ein schwacher Nahkampfangriff.,Un attacco corpo a corpo debole.,Um ataque corpo-a-corpo fraco.,,,弱い​近接攻撃。,
ABILITY_SMACK2_DESC,A weak melee attack with a chance to repeat.,,Un ataque cuerpo a cuerpo débil que tiene una probabilidad de repetirse.,Une faible attaque au corps-à-corps avec une chance de se relancer.,"Ein schwacher Nahkampfangriff, der mit einer gewissen Wahrscheinlichkeit wiederholt wird.",Un attacco corpo a corpo debole con possibilità di ripetizione.,Um ataque corpo-a-corpo fraco com uma chance de se repetir.,,,弱い​近接攻撃。​繰り返す確率​あり。[b][/b],
ABILITY_SPIT_NAME,Spit,,Escupitajo,Crachat,Spucken,Sputo,Cuspe,,,つば​吐き,
ABILITY_SPIT_DESC,Spit attack with infinite range that deals 1 damage.,,Un ataque de escupitajo con alcance ilimitado que inflige 1 de daño.,Attaque de crachat à la portée infinie qui inflige 1&nbsp;point de dégâts.,Spuckangriff mit unendlicher Reichweite. Verursacht 1&nbsp;Schaden.,Un attacco a sputo a raggio d'azione infinito che infligge 1 di danno.,Um ataque de cuspe com alcance infinito que causa 1 de dano.,,,無限射程の​つば​攻撃で​1ダメージを​与える。[b][/b],
ABILITY_SPIT2_DESC,Spit attack with infinite range that deals 2 damage in an area.,,Un ataque de escupitajo con alcance ilimitado que inflige 2 de daño en un área.,Attaque de crachat à la portée infinie qui inflige 2&nbsp;points de dégâts en zone.,Spuckangriff mit unendlicher Reichweite. Verursacht 2&nbsp;Flächenschaden.,Un attacco a sputo a raggio d'azione infinito che infligge 2 di danno in un'area.,Um ataque de cuspe com alcance infinito que causa 2 de dano em uma área.,,,無限射程の​つば​攻撃で​範囲2ダメージを​与える。[b][/b],
ABILITY_MINIHOOK_NAME,Minihook,,Minigancho,Mini-grappin,Minihaken,Mini-uncino,Mini gancho,,,ミニフック,
ABILITY_MINIHOOK_DESC,Pull a unit towards you.,,Atrae una unidad.,Tire une unité vers vous.,Zieh eine Einheit an dich heran.,Attira un'unità verso di te.,Puxe uma unidade na sua direção.,,,ユニットを​自分に​引き寄せる。[b][/b],
ABILITY_MINIHOOK2_DESC,Pull a unit towards you. Deal 1 damage and inflict 1 Bleed on them.,,Atrae una unidad. Le inflige 1 de daño y 1 de hemorragia.,Tire une unité vers vous et lui inflige 1&nbsp;point de dégâts et Saignement&nbsp;+1.,Zieh eine Einheit an dich heran. Verursache 1&nbsp;Schaden und 1&nbsp;Blutung.,Attira un'unità verso di te. Infligge 1 di danno e applica 1 Sanguinamento.,Puxe uma unidade na sua direção. Cause 1 de dano e aplique sangramento 1 nessa mesma unidade.,,,ユニットを​自分に​引き寄せる。​1ダメージと​出血1を​与える。[b][/b],
ABILITY_OVERTHERE_NAME,Over There!,,¡Allí!,Là-bas&nbsp;!,Hinter dir!,Laggiù!,Olhe Ali!,,,あっちいけ!,
ABILITY_OVERTHERE_DESC,Adjacent units turn away from you.,,Las unidades adyacentes le dan la espalda.,Les unités adjacentes vous tournent le dos.,Benachbarte Einheiten drehen sich von dir weg.,Le unità adiacenti si allontanano da te.,Unidades adjacentes se viram de costas para você.,,,隣接ユニットが​自分から​目を​背ける。[b][/b],
ABILITY_OVERTHERE2_DESC,Units within three tiles of you turn away from you.,,Las unidades en un radio de 3 casillas le dan la espalda.,Les unités à moins de 3&nbsp;cases vous tournent le dos.,Einheiten innerhalb von drei Feldern drehen sich von dir weg.,Le unità entro tre caselle di distanza si allontanano da te.,Unidades dentro de três espaços de distância se viram de costas para você.,,,3タイル以内の​ユニットが​自分から​目を​背ける。[b][/b],
ABILITY_BUTTSCOOT_NAME,Butt Scoot,,Arrastre de culo,Faites de la place,Hinternhopser,Scivolata sul Fondoschiena,Esfregão de Traseiro,,,お尻スクート,
