KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ITEM_BAGOFSTUFF_DESC,Use: Spawn a random pickup on an adjacent tile.5% chance to break when used.,,Uso: Genera un recogible al azar en una casilla adyacente.5 % de probabilidad de romperse al usarla.,Utilisation&nbsp;: fait apparaître une ressource aléatoire sur une case adjacente.5&nbsp;% de chances de se briser après utilisation.,Benutzen: Lasse auf einem benachbarten Feld einen zufälligen Gegenstand erscheinen.Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.,Uso: Generi un oggetto casuale su una casella adiacente.5% di probabilità di rompersi quando viene utilizzato.,Uso: gere um coletável aleatório em um espaço adjacente.5% de chance de quebrar após o uso.,,,使用:隣接タイルに​ランダムな​ピックアップを​生成する。​使用時に​5%の​確率で​壊れる。[b][/b],
ITEM_BALLPEENHAMMER_NAME,Ball-Peen Hammer,,Martillo de bola,Marteau à panne ronde,Schlosserhammer,Martello a Penna Sferica,Martelo de Bola,,,球面ハンマー,
ITEM_BALLPEENHAMMER_DESC,"Use: A melee attack. If used on an ally, give +1 use to all of their items instead of dealing damage.5% chance to break when used to repair items.",,"Uso: Al lanzar este ataque cuerpo a cuerpo contra un aliado, otorga +1 uso a todos sus objetos en vez de infligir daño.5 % de probabilidad de romperse al usarlo para reparar objetos.","Utilisation&nbsp;: une attaque au corps-à-corps. Utilisé sur un allié, accorde Utilisation +1&nbsp;à tous ses objets au lieu d'infliger des dégâts.5&nbsp;% de chances de se briser après avoir été utilisé pour réparer des objets.","Benutzen. Ein Nahkampfangriff. Ist das Ziel ein Verbündeter, verleihe all seinen Gegenständen +1&nbsp;Anwendung statt Schaden zu verursachen.Geht nach Reparatur mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo. Se usato su un alleato, conferisce +1 utilizzo a tutti i suoi oggetti invece di infliggere danno.5% di probabilità di rompersi quando viene utilizzato per riparare oggetti.","Uso: um ataque corpo-a-corpo. Se utilizado em um aliado, concede +1 de todos os seus itens ao invés de causar dano.5% de chance de quebrar após o uso.",,,使用:近接攻撃。​味方に​使用すると​ダメージの​代わりに​全アイテムに​+1使用回数を​付与。​アイテム修理時に​5%の​確率で​壊れる。[b][/b],
ITEM_BARBEDPAW_NAME,Barbed Paw,,Pata de espino,Patoune barbelée,Dornentatze,Zampa Spinata,Pata Farpada,,,棘付き猫パンチ,
ITEM_BARBEDPAW_DESC,Use: A melee attack that inflicts Bleed 1.Passive: +1 Thorns.,,Uso: Lanza un ataque cuerpo a cuerpo que inflige 1 de hemorragia.Pasiva: +1 de espinas.,Utilisation&nbsp;: une attaque au corps-à-corps qui inflige Saignement +1.Passif&nbsp;: Épines +1.,"Benutzen: Ein Nahkampfangriff, der Blutung&nbsp;1 verursacht.Passiveffekt: +1&nbsp;Dornen.",Uso: Un attacco corpo a corpo che infligge Sanguinamento 1.Abilità Passiva: +1 Spine.,Uso: um ataque corpo-a-corpo que aplica sangramento 1.Passivo: +1 de espinhos.,,,使用:出血1を​付与する​近接攻撃。​パッシブ:+1棘。[b][/b],
ITEM_BATTERY_NAME,Battery,,Batería,Batterie,Batterie,Batteria,Pilha,,,バッテリー,
ITEM_BATTERY_DESC,Use: A ranged lightning attack with a 10% chance to Stun.,,Uso: Lanza un ataque relámpago a distancia con un 10 % de probabilidad de aturdir.,Utilisation&nbsp;: un éclair lancé à distance avec 10&nbsp;% de chances d'infliger Étourdissement.,"Benutzen: Ein Fernkampf-Blitzangriff, der mit 10%iger Wahrscheinlichkeit Betäubung verursacht.",Uso: Un attacco elettrico a distanza con un 10% di probabilità di infliggere Stordimento.,Uso: um ataque elétrico à distância com 10% de chance de atordoar.,,,使用:10%の​確率で​スタンさせる​遠距離雷撃。[b][/b],
ITEM_BATTLEAXE_NAME,Battle Axe,,Hacha de guerra,Hache de guerre,Streitaxt,Ascia da Battaglia,Machado de Batalha,,,バトルアックス,
ITEM_BATTLEAXE_DESC,Use: A melee spin attack.This uses up both your movement and attack action.,,Uso: Lanza un ataque giratorio cuerpo a cuerpo.Este objeto gasta la acción de movimiento y la de ataque.,Utilisation&nbsp;: une attaque au corps-à-corps tournoyante.Consomme à la fois votre action de déplacement et votre action d'attaque.,Benutzen: Ein Nahkampf-Wirbelangriff.Verbraucht deine Bewegungsaktion und deinen Angriff.,Uso: Un attacco rotante corpo a corpo.Consuma sia la tua azione di movimento che quella di attacco.,Uso: um ataque corpo-a-corpo giratório.Isto conta como sua ação de movimento e sua ação de ataque.,,,使用:近接回転攻撃。​移動と​攻撃アクションの​両方を​消費する。[b][/b],
ITEM_BEARTRAPS_NAME,Bear Traps,,Cepos para osos,Pièges à ours,Bärenfalle,Trappole per Orsi,Armadilhas de Urso,,,熊の​罠,
ITEM_BEARTRAPS_DESC,Use: Place a Bear Trap.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.,,,使用:熊の​罠を​設置する。,
ITEM_BENTSPOON_NAME,Bent Spoon,,Cuchara doblada,Cuillère tordue,Verbogener Löffel,Cucchiaio Piegato,Colher Dobrada,,,曲がった​スプーン,
ITEM_BENTSPOON_DESC,Use: Pull any unit 1 tile toward you and deal 1 damage to it.,,Uso: Atrae a cualquier unidad 1 casilla y le inflige 1 de daño.,Utilisation&nbsp;: tire n'importe quelle unité d'une case vers vous et lui infligez 1&nbsp;dégât.,Benutzen: Ziehe eine beliebige Einheit 1&nbsp;Feld an dich heran und füge ihr 1&nbsp;Schaden zu.,Uso: Tiri un'unità qualsiasi di 1 casella verso di te e le infliggi 1 danno.,Uso: puxe qualquer unidade 1 espaço na sua direção e cause 1 de dano a ela.,,,使用:任意の​ユニットを​1タイル引き寄せて​1ダメージを​与える。[b][/b],
ITEM_BIBLE_NAME,The Bible,,La Biblia,La Sainte Bible,Die Bibel,La Bibbia,Bíblia,,,聖書,
ITEM_BIBLE_DESC,Use: Cleanse one stack of a random debuff from a unit at melee range. Passive: Your heals heal for 1 extra.,,Uso: Elimina una acumulación de una desventaja al azar de una unidad que esté al alcance del cuerpo a cuerpo. Pasiva: Las acciones curativas devuelven 1 PS extra.,Utilisation&nbsp;: dissipe le cumul d'un malus aléatoire d'une unité au corps-à-corps.Passif&nbsp;: vos soins guérissent 1&nbsp;fois de plus.,Benutzen: Reinige einen Stapel einer zufälligen Schwächung bei einer Einheit in Nahkampfreichweite.Passiveffekt: Deine Heilungen heilen 1&nbsp;LP mehr.,Uso: Rimuovi uno stack di un malus casuale da un'unità a una distanza corpo a corpo.Abilità Passiva: Le tue cure rigenerano 1 PS in più.,Uso: purifique uma acumulação de um enfraquecimento aleatório de uma unidade dentro do alcance corpo-a-corpo.Passivo: suas curas são 1 PV mais efetivas.,,,使用:近接範囲内の​ユニットから​ランダムな​デバフを​1つ浄化する。​パッシブ:回復効果が​1増加。[b][/b],
ITEM_BIGGESTSTICK_NAME,Biggest Stick,,Palo grandísimo,Gigabâton,Der größte Stock,Bastone Enorme,Graveto Enorme,,,最大の​棒,
ITEM_BIGGESTSTICK_DESC,Use: A melee attack with +3 reach.,,Uso: Lanza un ataque cuerpo a cuerpo con +3 de extensión.,Utilisation&nbsp;: une attaque au corps-à-corps avec Allonge +3.,Benutzen: Ein Nahkampfangriff mit +3&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +3.,Uso: um ataque corpo-a-corpo com +3 de envergadura.,,,使用:リーチ+3の​近接攻撃。,
ITEM_BIGSPRING_NAME,Big Spring,,Muelle grande,Gros ressort,Große Feder,Molla Gigante,Mola Grande,,,大バネ,
ITEM_BIGSPRING_DESC,Use: Throw an adjacent unit to a tile.,,Uso: Lanza a una unidad adyacente hacia otra casilla.,Utilisation&nbsp;: propulse une unité adjacente sur une case.,Benutzen: Wirf eine benachbarte Einheit auf ein beliebiges Feld.,Uso: Lanci un'unità adiacente su una casella.,Uso: lance uma unidade adjacente em um espaço.,,,使用:隣接ユニットを​タイルに​投げ飛ばす。[b][/b],
ITEM_BIGSTICK_NAME,Big Stick,,Palo grande,Gros bâton,Großer Stock,Bastone Grande,Graveto Grande,,,大きな​棒,
ITEM_BIGSTICK_DESC,Use: A melee attack with +2 reach.,,Uso: Lanza un ataque cuerpo a cuerpo con +2 de extensión.,Utilisation&nbsp;: une attaque au corps-à-corps avec Allonge +2.,Benutzen: Ein Nahkampfangriff mit +2&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +2.,Uso: um ataque corpo-a-corpo com +2 de envergadura.,,,使用:リーチ+2の​近接攻撃。,
ITEM_BLACKJACK_NAME,Blackjack,,Cachiporra,Matraque,Schlagstock,Manganello,Cassetete,,,ブラックジャック,
ITEM_BLACKJACK_DESC,Use: A melee attack with a 5% chance to Stun.Automatically use this when you stop next to an enemy or an enemy stops next to you.,,Uso: Lanza un ataque cuerpo a cuerpo con un 5 % de probabilidad de aturdir.Se usa automáticamente cuando esta unidad se detiene junto a un enemigo o viceversa.,Utilisation&nbsp;: une attaque au corps-à-corps avec 5&nbsp;% de chances d'infliger Étourdissement.Utilisation automatique quand vous vous arrêtez à côté d'un ennemi ou qu'un ennemi se place à côté de vous.,"Benutzen: Ein Nahkampfangriff, der mit 5%iger Wahrscheinlichkeit Betäubung verursacht.Benutze ihn automatisch, wenn du neben einem Gegner stehenbleibst oder ein Gegner neben dir stehenbleibt.",Uso: Un attacco corpo a corpo con un 5% probabilità di infliggere Stordimento.Lo usi automaticamente quando ti fermi accanto a un nemico o un nemico si ferma accanto a te.,Uso: um ataque corpo-a-corpo com 5% de chance de atordoar.Use isto automaticamente ao parar ao lado de um inimigo ou um inimigo parar ao seu lado.,,,使用:5%の​確率で​スタンさせる​近接攻撃。​敵の​隣で​止まるか、​敵が​あなたの隣で​止まると​自動使用。[b][/b],
ITEM_BLACKMUSHROOM_NAME,Black Mushroom,,Seta negra,Champi noir,Schwarzer Pilz,Fungo Nero,Cogumelo Preto,,,黒キノコ,
ITEM_BLACKMUSHROOM_DESC,Use: A ranged attack that inflicts Weakness 2.[s:.7](Usable once per battle.)[/s],,Uso: Lanza un ataque a distancia que inflige 2 de debilidad.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: une attaque à distance qui inflige Vulnérabilité 2.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],"Benutzen: Ein Fernkampfangriff, der Schwäche&nbsp;2 verursacht.[s:.7](Einmal pro Kampf verwendbar.)[/s]",Uso: Un attacco a distanza che infligge Debolezza 2.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: um ataque à distância que aplica fraqueza 2.[s:.7](Um uso por batalha.)[/s],,,使用:衰弱2を​付与する​遠距離攻撃。[s:.7](バトル中1回のみ​使用可能。)[/s],
ITEM_BLESSEDANOINTINGOIL_NAME,Blessed Anointing Oil,,Santos óleos,Huile d'onction bénie,Gesegnetes Salböl,Olio da Unzione Benedetto,Óleo de Unção Abençoado,,,祝福の​聖別オイル,
ITEM_BLESSEDANOINTINGOIL_DESC,Use: Cleanse debuffs and heal an adjacent unit or yourself.,,Uso: Elimina las desventajas y cura a esta unidad o a otra adyacente.,Utilisation&nbsp;: dissipe les malus et régénère les PV d'une unité adjacente ou de vous-même.,Benutzen: Reinige Schwächungen und heile dich oder eine benachbarte Einheit.,Uso: Rimuove i malus e cura te o un'unità adiacente.,Uso: purifique enfraquecimentos e cure a si ou uma unidade adjacente.,,,使用:隣接ユニットまたは​自分の​デバフを​浄化し回復する。[b][/b],
ITEM_BLOODBUCKET_NAME,Blood Bucket,,Cubo de sangre,Seau de sang,Bluteimer,Secchio di Sangue,Balde de Sangue,,,血の​バケツ,
ITEM_BLOODBUCKET_DESC,Use: A lobbed attack that creates a creep puddle.,,Uso: Lanza un ataque en arco que crea un charco de líquido tóxico.,Utilisation&nbsp;: une attaque en cloche qui génère une flaque de substance visqueuse.,"Benutzen: Ein Angriff, der Hindernisse ignoriert und eine gruselige Pfütze erschafft.",Uso: Un attacco a parabola che crea una pozza di melma.,Uso: um ataque em arco que cria uma poça de gosma.,,,使用:ヘドロを​生成する​放物攻撃。[b][/b],
ITEM_BLOODYBAGOFGLASS_NAME,Bloody Bag of Glass,,Bolsa sangrienta de cristales,Sac de verre ensanglanté,Blutige Scherbentasche,Sacco di Vetro Insanguinato,Saco de Vidro Ensanguentado,,,血塗れガラス袋,
ITEM_BLOODYBAGOFGLASS_DESC,Use: Throw a projectile that creates glass.,,Uso: Lanza un proyectil que crea cristales.,Utilisation&nbsp;: lance un projectile faisant apparaître du verre.,"Benutzen: Wirf ein Geschoss, das Glas erscheinen lässt.",Uso: Lanci un proiettile che crea vetro.,Uso: lance um projétil que cria vidro.,,,使用:ガラスを​生成する​飛び道具を​投げる。[b][/b],
ITEM_BLOODYBEARTRAPS_NAME,Bloody Bear Traps,,Cepos sangrientos para osos,Pièges à ours ensanglantés,Blutige Bärenfalle,Trappole per Orsi Insanguinate,Armadilhas de Urso Ensanguentadas,,,血塗れ熊の​罠,
ITEM_BLOODYBEARTRAPS_DESC,Use: Place a Bear Trap.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.,,,使用:熊の​罠を​設置する。,
ITEM_BLOODYBUTTERFLYKNIFE_NAME,Bloody Knife,,Cuchillo sangriento,Couteau ensanglanté,Blutiges Messer,Coltello Insanguinato,Faca Ensanguentada,,,血塗れナイフ,
ITEM_BLOODYBUTTERFLYKNIFE_DESC,Use: A multi-hit melee attack with Lifesteal that inflicts Bleed.[s:.7](Usable once per battle.)[/s],,Uso: Lanza un ataque cuerpo a cuerpo que golpea varias veces con robavida y que inflige hemorragia.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: une attaque multiple au corps-à-corps avec Vol de vie qui inflige Saignement.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],"Benutzen: Ein mehrfach treffender Nahkampfangriff, der Leben absaugt und Blutung verursacht.[s:.7](Einmal pro Kampf verwendbar.)[/s]",Uso: Un attacco corpo a corpo multi-colpo con Rubavita che infligge Sanguinamento.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: um ataque corpo-a-corpo multigolpes com roubo de vida que aplica sangramento.[s:.7](Um uso por batalha.)[/s],,,使用:出血を​付与する​ライフスティール多段近接攻撃。[s:.7](バトル中1回のみ​使用可能。)[/s],
ITEM_BLOODYMEATHOOK_NAME,Bloody Meat Hook,,Gancho sangriento para carne,Crochet de boucher ensanglanté,Blutiger Fleischhaken,Uncino da Carne Insanguinato,Gancho de Carne Ensanguentado,,,血塗れ肉フック,
ITEM_BLOODYMEATHOOK_DESC,"Use: Pull a unit towards you, Cleaving and inflicting Bleed 1.",,"Uso: Atrae a una unidad, le practica una incisión y le inflige 1 de hemorragia.","Utilisation&nbsp;: attire une unité vers vous, effectue une attaque tranchante et inflige Saignement 1.",Benutzen: Zieh eine Einheit an dich heran und verursache Blutung&nbsp;1.,"Uso: Tiri un'unità verso di te, infliggendole Fendente e Sanguinamento 1.","Uso: puxe uma unidade na sua direção, causando cisão e aplicando sangramento 1.",,,使用:ユニットを​引き寄せ、​肉切りと​出血1を​付与する。[b][/b],
ITEM_BLOODYSOULCLAW_NAME,Bloody Soul Claw,,Garra de alma sangrienta,Griffe spirituelle ensanglantée,Blutige Seelenkralle,Artiglio dell'Anima Insanguinato,Garra de Alma Ensanguentada,,,血塗れソウルクロー,
ITEM_BLOODYSOULCLAW_DESC,"Use: A melee attack that deals damage equal to the number of uses this has left.When this weapon kills a unit, it gains +2 uses and you heal 5 HP.",,"Uso: Lanza un ataque cuerpo a cuerpo que inflige el mismo daño que usos queden.Cuando el arma mata a una unidad, obtiene +2 usos y esta unidad recupera 5 PS.","Utilisation&nbsp;: une attaque au corps-à-corps qui inflige des dégâts égaux au nombre d'utilisations restantes.Quand cette arme achève une unité, elle gagne Utilisation +2&nbsp;et vous récupérez 5&nbsp;PV.","Benutzen: Ein Nahkampfangriff, dessen Schaden der Anzahl seiner verbleibenden Anwendungen entspricht.Tötet diese Waffe eine Einheit, erhält sie +2&nbsp;Benutzungen und du heilst dich um 5&nbsp;LP.","Uso: Un attacco corpo a corpo che infligge danno pari al numero di utilizzi rimasti.Quando quest'arma uccide un'unità, ottiene +2 utilizzi e tu recuperi 5 PS.","Uso: um ataque corpo-a-corpo que causa dano equivalente à quantidade de usos restantes que este item possui.Quando esta arma mata uma unidade, ela obtém +2 usos e cura 5 PV.",,,使用:残り​使用回数と​同じ​ダメージを​与える​近接攻撃。​この​武器で​ユニットを​倒すと​+2使用回数を​獲得し、​5HP回復。[b][/b],
ITEM_BLOODYSPIKES_NAME,Bloody Spikes,,Pinchos sangrientos,Pics ensanglantés,Blutige Spitzen,Spine Insanguinate,Espinhos Ensanguentados,,,血塗れスパイク,
ITEM_BLOODYSPIKES_DESC,+1 Thorns.Use: A ranged attack.,,+1 de espinas.Uso: Lanza un ataque a distancia.,Épines +1.Utilisation&nbsp;: une attaque à distance.,+1&nbsp;Dornen.Benutzen: Ein Fernkampfangriff.,+1 Spine.Uso: Un attacco a distanza.,+1 de espinhos.Uso: um ataque à distância.,,,+1棘。​使用:遠距離攻撃。,
ITEM_BLOODYSTICK_NAME,Bloody Stick,,Palo sangriento,Bâton ensanglanté,Blutiger Stock,Bastone Insanguinato,Graveto Ensanguentado,,,血塗れ棒,
ITEM_BLOODYSTICK_DESC,+1 Health Regen.Use: A melee attack with +1 reach.,,+1 de regeneración de salud.Uso: Lanza un ataque cuerpo a cuerpo con +1 de extensión.,Régénération de PV +1.Utilisation&nbsp;: une attaque au corps-à-corps avec Allonge +1.,+1&nbsp;Lebensregeneration.Benutzen: Ein Nahkampfangriff mit +1&nbsp;Reichweite.,+1 Rigenerazione Salute.Uso: Un attacco corpo a corpo con portata +1.,+1 de regeneração de saúde.Uso: um ataque corpo-a-corpo com +1 de envergadura.,,,+1HP再生。​使用:リーチ+1の​近接攻撃。[b][/b],
ITEM_BO_NAME,Bo,,Bo,Bô,Bo,Bo,Bo,,,棒術,
